,id,home,away,exhibition,season,variable,goal,
16651,1051,ADANASPOR A.Ş.,AKHİSAR BELEDİYE GENÇLİK VE SPOR,ADANASPOR A.Ş. - AKHİSAR BELEDİYE GENÇLİK VE SPOR,2016/17,a_goal0,"MUSTAFA YUMLU,33.dk",
18601,1051,ADANASPOR A.Ş.,AKHİSAR BELEDİYE GENÇLİK VE SPOR,ADANASPOR A.Ş. - AKHİSAR BELEDİYE GENÇLİK VE SPOR,2016/17,a_goal1,,
1051,1051,ADANASPOR A.Ş.,AKHİSAR BELEDİYE GENÇLİK VE SPOR,ADANASPOR A.Ş. - AKHİSAR BELEDİYE GENÇLİK VE SPOR,2016/17,h_goal0,"MAGAYE SERIGNE FALILOU DIT NELSON GUEYE,3.dk",
3001,1051,ADANASPOR A.Ş.,AKHİSAR BELEDİYE GENÇLİK VE SPOR,ADANASPOR A.Ş. - AKHİSAR BELEDİYE GENÇLİK VE SPOR,2016/17,h_goal1," AHMET DERELİ,63.dk",
4951,1051,ADANASPOR A.Ş.,AKHİSAR BELEDİYE GENÇLİK VE SPOR,ADANASPOR A.Ş. - AKHİSAR BELEDİYE GENÇLİK VE SPOR,2016/17,h_goal2,,
16679,1079,ADANASPOR A.Ş.,ANTALYASPOR A.Ş.,ADANASPOR A.Ş. - ANTALYASPOR A.Ş.,2016/17,a_goal0,"DENİZ KADAH,22.dk",
18629,1079,ADANASPOR A.Ş.,ANTALYASPOR A.Ş.,ADANASPOR A.Ş. - ANTALYASPOR A.Ş.,2016/17,a_goal1," SAMUEL ETO O FILS,28.dk",
20579,1079,ADANASPOR A.Ş.,ANTALYASPOR A.Ş.,ADANASPOR A.Ş. - ANTALYASPOR A.Ş.,2016/17,a_goal2," SAMUEL ETO O FILS,33.dk",
22529,1079,ADANASPOR A.Ş.,ANTALYASPOR A.Ş.,ADANASPOR A.Ş. - ANTALYASPOR A.Ş.,2016/17,a_goal3," SAMUEL ETO O FILS,57.dk",
24479,1079,ADANASPOR A.Ş.,ANTALYASPOR A.Ş.,ADANASPOR A.Ş. - ANTALYASPOR A.Ş.,2016/17,a_goal4," MOSTAPHA EL KABIR,75.dk",
26429,1079,ADANASPOR A.Ş.,ANTALYASPOR A.Ş.,ADANASPOR A.Ş. - ANTALYASPOR A.Ş.,2016/17,a_goal5,,
1079,1079,ADANASPOR A.Ş.,ANTALYASPOR A.Ş.,ADANASPOR A.Ş. - ANTALYASPOR A.Ş.,2016/17,h_goal0,"RONEI GLEISON RODRIGUES DOS REIS,85.dk",
3029,1079,ADANASPOR A.Ş.,ANTALYASPOR A.Ş.,ADANASPOR A.Ş. - ANTALYASPOR A.Ş.,2016/17,h_goal1," AHMET DERELİ,90.dk",
4979,1079,ADANASPOR A.Ş.,ANTALYASPOR A.Ş.,ADANASPOR A.Ş. - ANTALYASPOR A.Ş.,2016/17,h_goal2,,
16860,1260,ADANASPOR A.Ş.,ATİKER KONYASPOR,ADANASPOR A.Ş. - ATİKER KONYASPOR,2016/17,a_goal0,"JENS JONSSON,29.dk",
18810,1260,ADANASPOR A.Ş.,ATİKER KONYASPOR,ADANASPOR A.Ş. - ATİKER KONYASPOR,2016/17,a_goal1,,
16916,1316,ADANASPOR A.Ş.,AYTEMİZ ALANYASPOR,ADANASPOR A.Ş. - AYTEMİZ ALANYASPOR,2016/17,a_goal0,"ABDOULAYE BA,30.dk",
18866,1316,ADANASPOR A.Ş.,AYTEMİZ ALANYASPOR,ADANASPOR A.Ş. - AYTEMİZ ALANYASPOR,2016/17,a_goal1," WILDE DONALD GUERRIER,54.dk",
20816,1316,ADANASPOR A.Ş.,AYTEMİZ ALANYASPOR,ADANASPOR A.Ş. - AYTEMİZ ALANYASPOR,2016/17,a_goal2,,
1316,1316,ADANASPOR A.Ş.,AYTEMİZ ALANYASPOR,ADANASPOR A.Ş. - AYTEMİZ ALANYASPOR,2016/17,h_goal0,"TEVFİK ALTINDAĞ,26.dk",
3266,1316,ADANASPOR A.Ş.,AYTEMİZ ALANYASPOR,ADANASPOR A.Ş. - AYTEMİZ ALANYASPOR,2016/17,h_goal1," MAGAYE SERIGNE FALILOU DIT NELSON GUEYE,45.dk",
5216,1316,ADANASPOR A.Ş.,AYTEMİZ ALANYASPOR,ADANASPOR A.Ş. - AYTEMİZ ALANYASPOR,2016/17,h_goal2," CEM ÖZDEMİR,65.dk",
7166,1316,ADANASPOR A.Ş.,AYTEMİZ ALANYASPOR,ADANASPOR A.Ş. - AYTEMİZ ALANYASPOR,2016/17,h_goal3,,
16853,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,2016/17,a_goal0,"VINCENT ABOUBAKAR,11.dk",
18803,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,2016/17,a_goal1," CENK TOSUN,17.dk",
20753,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,2016/17,a_goal2,,
1253,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,2016/17,h_goal0,"MAGAYE SERIGNE FALILOU DIT NELSON GUEYE,56.dk",
3203,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,2016/17,h_goal1,,
16685,1085,ADANASPOR A.Ş.,BURSASPOR,ADANASPOR A.Ş. - BURSASPOR,2016/17,a_goal0,"ERTUĞRUL ERSOY,57.dk",
18635,1085,ADANASPOR A.Ş.,BURSASPOR,ADANASPOR A.Ş. - BURSASPOR,2016/17,a_goal1," PABLO MARTIN BATALLA,82.dk",
20585,1085,ADANASPOR A.Ş.,BURSASPOR,ADANASPOR A.Ş. - BURSASPOR,2016/17,a_goal2,,
1085,1085,ADANASPOR A.Ş.,BURSASPOR,ADANASPOR A.Ş. - BURSASPOR,2016/17,h_goal0,"RENAN SOUZA DINIZ,24.dk",
3035,1085,ADANASPOR A.Ş.,BURSASPOR,ADANASPOR A.Ş. - BURSASPOR,2016/17,h_goal1,,
16906,1306,ADANASPOR A.Ş.,FENERBAHÇE A.Ş.,ADANASPOR A.Ş. - FENERBAHÇE A.Ş.,2016/17,a_goal0,"JOSEF DE SOUZA DIAS,9.dk",
18856,1306,ADANASPOR A.Ş.,FENERBAHÇE A.Ş.,ADANASPOR A.Ş. - FENERBAHÇE A.Ş.,2016/17,a_goal1," AATIF CHAHECHOUHE,22.dk",
20806,1306,ADANASPOR A.Ş.,FENERBAHÇE A.Ş.,ADANASPOR A.Ş. - FENERBAHÇE A.Ş.,2016/17,a_goal2," EMMANUEL CHINENYE EMENIKE,90.dk",
22756,1306,ADANASPOR A.Ş.,FENERBAHÇE A.Ş.,ADANASPOR A.Ş. - FENERBAHÇE A.Ş.,2016/17,a_goal3,,
1306,1306,ADANASPOR A.Ş.,FENERBAHÇE A.Ş.,ADANASPOR A.Ş. - FENERBAHÇE A.Ş.,2016/17,h_goal0,"VLAGYIMIR KOMAN,6.dk",
3256,1306,ADANASPOR A.Ş.,FENERBAHÇE A.Ş.,ADANASPOR A.Ş. - FENERBAHÇE A.Ş.,2016/17,h_goal1,,
