,id,home,away,exhibition,variable,sub_player
32251,1051,ADANASPOR A.Ş.,AKHİSAR BELEDİYE GENÇLİK VE SPOR,ADANASPOR A.Ş. - AKHİSAR BELEDİYE GENÇLİK VE SPOR,a_sub6,ALPER ULUDAĞ
10801,1051,ADANASPOR A.Ş.,AKHİSAR BELEDİYE GENÇLİK VE SPOR,ADANASPOR A.Ş. - AKHİSAR BELEDİYE GENÇLİK VE SPOR,h_sub5,TEVFİK ALTINDAĞ
24451,1051,ADANASPOR A.Ş.,AKHİSAR BELEDİYE GENÇLİK VE SPOR,ADANASPOR A.Ş. - AKHİSAR BELEDİYE GENÇLİK VE SPOR,a_sub2,MUĞDAT ÇELİK
20551,1051,ADANASPOR A.Ş.,AKHİSAR BELEDİYE GENÇLİK VE SPOR,ADANASPOR A.Ş. - AKHİSAR BELEDİYE GENÇLİK VE SPOR,a_sub0,BORA KÖRK
30301,1051,ADANASPOR A.Ş.,AKHİSAR BELEDİYE GENÇLİK VE SPOR,ADANASPOR A.Ş. - AKHİSAR BELEDİYE GENÇLİK VE SPOR,a_sub5,ORHAN TAŞDELEN
4951,1051,ADANASPOR A.Ş.,AKHİSAR BELEDİYE GENÇLİK VE SPOR,ADANASPOR A.Ş. - AKHİSAR BELEDİYE GENÇLİK VE SPOR,h_sub2,RENAN SOUZA DINIZ
22501,1051,ADANASPOR A.Ş.,AKHİSAR BELEDİYE GENÇLİK VE SPOR,ADANASPOR A.Ş. - AKHİSAR BELEDİYE GENÇLİK VE SPOR,a_sub1,AYKUT ÇEVİKER
3001,1051,ADANASPOR A.Ş.,AKHİSAR BELEDİYE GENÇLİK VE SPOR,ADANASPOR A.Ş. - AKHİSAR BELEDİYE GENÇLİK VE SPOR,h_sub1,OUSMANE VIERA DIARRASSOUBA
12751,1051,ADANASPOR A.Ş.,AKHİSAR BELEDİYE GENÇLİK VE SPOR,ADANASPOR A.Ş. - AKHİSAR BELEDİYE GENÇLİK VE SPOR,h_sub6,VINICIUS SANTOS SILVA
8851,1051,ADANASPOR A.Ş.,AKHİSAR BELEDİYE GENÇLİK VE SPOR,ADANASPOR A.Ş. - AKHİSAR BELEDİYE GENÇLİK VE SPOR,h_sub4,MUSTAFA SAMİCAN KESKİN
28351,1051,ADANASPOR A.Ş.,AKHİSAR BELEDİYE GENÇLİK VE SPOR,ADANASPOR A.Ş. - AKHİSAR BELEDİYE GENÇLİK VE SPOR,a_sub4,DANIEL ALEXANDER LARSSON
1051,1051,ADANASPOR A.Ş.,AKHİSAR BELEDİYE GENÇLİK VE SPOR,ADANASPOR A.Ş. - AKHİSAR BELEDİYE GENÇLİK VE SPOR,h_sub0,HAYRULLAH MERT AKYÜZ
26401,1051,ADANASPOR A.Ş.,AKHİSAR BELEDİYE GENÇLİK VE SPOR,ADANASPOR A.Ş. - AKHİSAR BELEDİYE GENÇLİK VE SPOR,a_sub3,RICARDO JORGE VAZ TE
6901,1051,ADANASPOR A.Ş.,AKHİSAR BELEDİYE GENÇLİK VE SPOR,ADANASPOR A.Ş. - AKHİSAR BELEDİYE GENÇLİK VE SPOR,h_sub3,AHMET BAHÇIVAN
20579,1079,ADANASPOR A.Ş.,ANTALYASPOR A.Ş.,ADANASPOR A.Ş. - ANTALYASPOR A.Ş.,a_sub0,SASO FORNEZZI
26429,1079,ADANASPOR A.Ş.,ANTALYASPOR A.Ş.,ADANASPOR A.Ş. - ANTALYASPOR A.Ş.,a_sub3,YEKTA KURTULUŞ
32279,1079,ADANASPOR A.Ş.,ANTALYASPOR A.Ş.,ADANASPOR A.Ş. - ANTALYASPOR A.Ş.,a_sub6,BOZA JEAN ARMEL DROLE
8879,1079,ADANASPOR A.Ş.,ANTALYASPOR A.Ş.,ADANASPOR A.Ş. - ANTALYASPOR A.Ş.,h_sub4,AHMET DERELİ
28379,1079,ADANASPOR A.Ş.,ANTALYASPOR A.Ş.,ADANASPOR A.Ş. - ANTALYASPOR A.Ş.,a_sub4,MACIEL SOUSA CAMPOS RİCHARD DANILO
4979,1079,ADANASPOR A.Ş.,ANTALYASPOR A.Ş.,ADANASPOR A.Ş. - ANTALYASPOR A.Ş.,h_sub2,AHMET BAHÇIVAN
30329,1079,ADANASPOR A.Ş.,ANTALYASPOR A.Ş.,ADANASPOR A.Ş. - ANTALYASPOR A.Ş.,a_sub5,SERDAR ÖZKAN
3029,1079,ADANASPOR A.Ş.,ANTALYASPOR A.Ş.,ADANASPOR A.Ş. - ANTALYASPOR A.Ş.,h_sub1,EMRE UĞUR URUÇ
12779,1079,ADANASPOR A.Ş.,ANTALYASPOR A.Ş.,ADANASPOR A.Ş. - ANTALYASPOR A.Ş.,h_sub6,REYNALDO DOS SANTOS SILVA
1079,1079,ADANASPOR A.Ş.,ANTALYASPOR A.Ş.,ADANASPOR A.Ş. - ANTALYASPOR A.Ş.,h_sub0,HAYRULLAH MERT AKYÜZ
6929,1079,ADANASPOR A.Ş.,ANTALYASPOR A.Ş.,ADANASPOR A.Ş. - ANTALYASPOR A.Ş.,h_sub3,CEM ÖZDEMİR
24479,1079,ADANASPOR A.Ş.,ANTALYASPOR A.Ş.,ADANASPOR A.Ş. - ANTALYASPOR A.Ş.,a_sub2,ZEKİ YILDIRIM
22529,1079,ADANASPOR A.Ş.,ANTALYASPOR A.Ş.,ADANASPOR A.Ş. - ANTALYASPOR A.Ş.,a_sub1,SAKIB AYTAÇ
10829,1079,ADANASPOR A.Ş.,ANTALYASPOR A.Ş.,ADANASPOR A.Ş. - ANTALYASPOR A.Ş.,h_sub5,VLAGYIMIR KOMAN
26610,1260,ADANASPOR A.Ş.,ATİKER KONYASPOR,ADANASPOR A.Ş. - ATİKER KONYASPOR,a_sub3,DENI MILOSEVIC
7110,1260,ADANASPOR A.Ş.,ATİKER KONYASPOR,ADANASPOR A.Ş. - ATİKER KONYASPOR,h_sub3,AHMET BAHÇIVAN
12960,1260,ADANASPOR A.Ş.,ATİKER KONYASPOR,ADANASPOR A.Ş. - ATİKER KONYASPOR,h_sub6,REYNALDO DOS SANTOS SILVA
5160,1260,ADANASPOR A.Ş.,ATİKER KONYASPOR,ADANASPOR A.Ş. - ATİKER KONYASPOR,h_sub2,EMRE UĞUR URUÇ
28560,1260,ADANASPOR A.Ş.,ATİKER KONYASPOR,ADANASPOR A.Ş. - ATİKER KONYASPOR,a_sub4,MORYKE FOFANA
9060,1260,ADANASPOR A.Ş.,ATİKER KONYASPOR,ADANASPOR A.Ş. - ATİKER KONYASPOR,h_sub4,MUSTAFA SAMİCAN KESKİN
24660,1260,ADANASPOR A.Ş.,ATİKER KONYASPOR,ADANASPOR A.Ş. - ATİKER KONYASPOR,a_sub2,SELİM AY
32460,1260,ADANASPOR A.Ş.,ATİKER KONYASPOR,ADANASPOR A.Ş. - ATİKER KONYASPOR,a_sub6,HALİL İBRAHİM SÖNMEZ
20760,1260,ADANASPOR A.Ş.,ATİKER KONYASPOR,ADANASPOR A.Ş. - ATİKER KONYASPOR,a_sub0,KAYA TARAKCI
3210,1260,ADANASPOR A.Ş.,ATİKER KONYASPOR,ADANASPOR A.Ş. - ATİKER KONYASPOR,h_sub1,OUSMANE VIERA DIARRASSOUBA
30510,1260,ADANASPOR A.Ş.,ATİKER KONYASPOR,ADANASPOR A.Ş. - ATİKER KONYASPOR,a_sub5,ALBAN MEHA
1260,1260,ADANASPOR A.Ş.,ATİKER KONYASPOR,ADANASPOR A.Ş. - ATİKER KONYASPOR,h_sub0,HAYRULLAH MERT AKYÜZ
22710,1260,ADANASPOR A.Ş.,ATİKER KONYASPOR,ADANASPOR A.Ş. - ATİKER KONYASPOR,a_sub1,VOLKAN FINDIKLI
11010,1260,ADANASPOR A.Ş.,ATİKER KONYASPOR,ADANASPOR A.Ş. - ATİKER KONYASPOR,h_sub5,AHMET DERELİ
13016,1316,ADANASPOR A.Ş.,AYTEMİZ ALANYASPOR,ADANASPOR A.Ş. - AYTEMİZ ALANYASPOR,h_sub6,RENAN RODRIGUES DA SILVA
9116,1316,ADANASPOR A.Ş.,AYTEMİZ ALANYASPOR,ADANASPOR A.Ş. - AYTEMİZ ALANYASPOR,h_sub4,CANBERK DİLAVER
1316,1316,ADANASPOR A.Ş.,AYTEMİZ ALANYASPOR,ADANASPOR A.Ş. - AYTEMİZ ALANYASPOR,h_sub0,İRFAN CAN EĞRİBAYAT
3266,1316,ADANASPOR A.Ş.,AYTEMİZ ALANYASPOR,ADANASPOR A.Ş. - AYTEMİZ ALANYASPOR,h_sub1,EDGAR BRUNO DA SILVA
32516,1316,ADANASPOR A.Ş.,AYTEMİZ ALANYASPOR,ADANASPOR A.Ş. - AYTEMİZ ALANYASPOR,a_sub6,SEFA YILMAZ
5216,1316,ADANASPOR A.Ş.,AYTEMİZ ALANYASPOR,ADANASPOR A.Ş. - AYTEMİZ ALANYASPOR,h_sub2,EMRE UĞUR URUÇ
20816,1316,ADANASPOR A.Ş.,AYTEMİZ ALANYASPOR,ADANASPOR A.Ş. - AYTEMİZ ALANYASPOR,a_sub0,ZDENEK ZLAMAL
30566,1316,ADANASPOR A.Ş.,AYTEMİZ ALANYASPOR,ADANASPOR A.Ş. - AYTEMİZ ALANYASPOR,a_sub5,ERHAN KARTAL
22766,1316,ADANASPOR A.Ş.,AYTEMİZ ALANYASPOR,ADANASPOR A.Ş. - AYTEMİZ ALANYASPOR,a_sub1,BERKAN EMİR
28616,1316,ADANASPOR A.Ş.,AYTEMİZ ALANYASPOR,ADANASPOR A.Ş. - AYTEMİZ ALANYASPOR,a_sub4,GÖKAY IRAVUL
7166,1316,ADANASPOR A.Ş.,AYTEMİZ ALANYASPOR,ADANASPOR A.Ş. - AYTEMİZ ALANYASPOR,h_sub3,MUSTAFA SAMİCAN KESKİN
26666,1316,ADANASPOR A.Ş.,AYTEMİZ ALANYASPOR,ADANASPOR A.Ş. - AYTEMİZ ALANYASPOR,a_sub3,CARLOS GARCIA BADIAS
24716,1316,ADANASPOR A.Ş.,AYTEMİZ ALANYASPOR,ADANASPOR A.Ş. - AYTEMİZ ALANYASPOR,a_sub2,EFECAN KARACA
11066,1316,ADANASPOR A.Ş.,AYTEMİZ ALANYASPOR,ADANASPOR A.Ş. - AYTEMİZ ALANYASPOR,h_sub5,AHMET BAHÇIVAN
26603,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,a_sub3,GÖKHAN İNLER
11003,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,h_sub5,EMRE UĞUR URUÇ
20753,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,a_sub0,TOLGA ZENGİN
3203,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,h_sub1,VINICIUS JOSE IGNACIO
1253,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,h_sub0,İRFAN CAN EĞRİBAYAT
7103,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,h_sub3,MUSTAFA SAMİCAN KESKİN
9053,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,h_sub4,AHMET BAHÇIVAN
12953,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,h_sub6,EDGAR BRUNO DA SILVA
22703,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,a_sub1,FATİH AKSOY
32453,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,a_sub6,ÖMER HASAN ŞİŞMANOĞLU
28553,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,a_sub4,KERİM FREİ
30503,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,a_sub5,OLCAY ŞAHAN
5153,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,h_sub2,CANBERK DİLAVER
